TRANSACTION_DATE,TRANSACTION_VOLUME
2017-06-08 00:00:00.000,185436
2017-06-09 00:00:00.000,213325
2017-06-10 00:00:00.000,211542
2017-06-11 00:00:00.000,238642
2017-06-12 00:00:00.000,283747
2017-06-13 00:00:00.000,277048
2017-06-14 00:00:00.000,247995
2017-06-15 00:00:00.000,257854
2017-06-16 00:00:00.000,240756
2017-06-17 00:00:00.000,239079
2017-06-18 00:00:00.000,241123
2017-06-19 00:00:00.000,281940
2017-06-20 00:00:00.000,282261
2017-06-21 00:00:00.000,184832
2017-06-22 00:00:00.000,267235
2017-06-23 00:00:00.000,271560
2017-06-24 00:00:00.000,234177
2017-06-25 00:00:00.000,228207
2017-06-26 00:00:00.000,310578
2017-06-27 00:00:00.000,249519
2017-06-28 00:00:00.000,260502
2017-06-29 00:00:00.000,259915
2017-06-30 00:00:00.000,249348
2017-07-01 00:00:00.000,235306
2017-07-02 00:00:00.000,242078
2017-07-03 00:00:00.000,296176
2017-07-04 00:00:00.000,274519
2017-07-05 00:00:00.000,266278
2017-07-06 00:00:00.000,254326
2017-07-07 00:00:00.000,290214
2017-07-08 00:00:00.000,245000
2017-07-09 00:00:00.000,222526
2017-07-10 00:00:00.000,292500
2017-07-11 00:00:00.000,283359
2017-07-12 00:00:00.000,274589
2017-07-13 00:00:00.000,251166
2017-07-14 00:00:00.000,240921
2017-07-15 00:00:00.000,226299
2017-07-16 00:00:00.000,245056
2017-07-17 00:00:00.000,242807
2017-07-18 00:00:00.000,264793
2017-07-19 00:00:00.000,265517
2017-07-20 00:00:00.000,246674
2017-07-21 00:00:00.000,230250
2017-07-22 00:00:00.000,202932
2017-07-23 00:00:00.000,257432
2017-07-24 00:00:00.000,254470
2017-07-25 00:00:00.000,240165
2017-07-26 00:00:00.000,220422
2017-07-27 00:00:00.000,221180
2017-07-28 00:00:00.000,241644
2017-07-29 00:00:00.000,195643
2017-07-30 00:00:00.000,204095
2017-07-31 00:00:00.000,245945
2017-08-01 00:00:00.000,214951
2017-08-02 00:00:00.000,227858
2017-08-03 00:00:00.000,233534
2017-08-04 00:00:00.000,253035
2017-08-05 00:00:00.000,256914
2017-08-06 00:00:00.000,261758
2017-08-07 00:00:00.000,275647
2017-08-08 00:00:00.000,313214
2017-08-09 00:00:00.000,276014
2017-08-10 00:00:00.000,331562
2017-08-11 00:00:00.000,349683
2017-08-12 00:00:00.000,326255
2017-08-13 00:00:00.000,328333
2017-08-14 00:00:00.000,397980
2017-08-15 00:00:00.000,401458
2017-08-16 00:00:00.000,389796
2017-08-17 00:00:00.000,407710
2017-08-18 00:00:00.000,420865
2017-08-19 00:00:00.000,368873
2017-08-20 00:00:00.000,303309
2017-08-21 00:00:00.000,383936
2017-08-22 00:00:00.000,355284
2017-08-23 00:00:00.000,364673
2017-08-24 00:00:00.000,341617
2017-08-25 00:00:00.000,343193
2017-08-26 00:00:00.000,294424
2017-08-27 00:00:00.000,311888
2017-08-28 00:00:00.000,351707
2017-08-29 00:00:00.000,380759
2017-08-30 00:00:00.000,391627
2017-08-31 00:00:00.000,368060
2017-09-01 00:00:00.000,379731
2017-09-02 00:00:00.000,322747
2017-09-03 00:00:00.000,295918
2017-09-04 00:00:00.000,432302
2017-09-05 00:00:00.000,428911
2017-09-06 00:00:00.000,479519
2017-09-07 00:00:00.000,433250
2017-09-08 00:00:00.000,451565
2017-09-09 00:00:00.000,374188
2017-09-10 00:00:00.000,320863
2017-09-11 00:00:00.000,359019
2017-09-12 00:00:00.000,395091
2017-09-13 00:00:00.000,357766
2017-09-14 00:00:00.000,373536
2017-09-15 00:00:00.000,428559
