TRANSACTION_DATE,TOTAL_TRANSACTION_VALUE
2016-04-17 00:00:00.000,824811.575719974
2016-04-18 00:00:00.000,638535.012606962
2016-04-19 00:00:00.000,408614.408159272
2016-04-20 00:00:00.000,674655.266284686
2016-04-21 00:00:00.000,473331.090831658
2016-04-22 00:00:00.000,754227.658123052
2016-04-23 00:00:00.000,1014162.21945035
2016-04-24 00:00:00.000,375207.187093082
2016-04-25 00:00:00.000,712819.254764313
2016-04-26 00:00:00.000,1163229.49653588
2016-04-27 00:00:00.000,778571.564073103
2016-04-28 00:00:00.000,767210.6353172
2016-04-29 00:00:00.000,585245.235879372
2016-04-30 00:00:00.000,2643633.62828491
2016-05-01 00:00:00.000,1699764.9713221
2016-05-02 00:00:00.000,1859319.27051226
2016-05-03 00:00:00.000,1335178.05101317
2016-05-04 00:00:00.000,1084648.36546642
2016-05-05 00:00:00.000,1089443.08332918
2016-05-06 00:00:00.000,2019536.27121394
2016-05-07 00:00:00.000,1507103.18260869
2016-05-08 00:00:00.000,1399447.70715861
2016-05-09 00:00:00.000,1962511.57577002
2016-05-10 00:00:00.000,2014554.53572374
2016-05-11 00:00:00.000,2985497.30589725
2016-05-12 00:00:00.000,3178747.75299649
2016-05-13 00:00:00.000,7932834.42345379
2016-05-14 00:00:00.000,5844972.95531297
2016-05-15 00:00:00.000,1469667.28725907
2016-05-16 00:00:00.000,1474198.20677345
2016-05-17 00:00:00.000,1309439.29838798
2016-05-18 00:00:00.000,1811512.51796766
2016-05-19 00:00:00.000,2654202.42401273
2016-05-20 00:00:00.000,2251156.87051979
2016-05-21 00:00:00.000,991869.547869539
2016-05-22 00:00:00.000,665243.227262121
2016-05-23 00:00:00.000,1245172.89625625
2016-05-24 00:00:00.000,1757888.36243456
2016-05-25 00:00:00.000,1707748.7823633
2016-05-26 00:00:00.000,1273153.13031181
2016-05-27 00:00:00.000,2575346.8062406
2016-05-28 00:00:00.000,2198904.97175441
2016-05-29 00:00:00.000,1005242.21239161
2016-05-30 00:00:00.000,1012347.28379215
2016-05-31 00:00:00.000,1020980.25298749
2016-06-01 00:00:00.000,787919.481614184
2016-06-02 00:00:00.000,499508.988654318
2016-06-03 00:00:00.000,626453.602571852
2016-06-04 00:00:00.000,465183.556639321
2016-06-05 00:00:00.000,455014.181594933
2016-06-06 00:00:00.000,480216.165709616
2016-06-07 00:00:00.000,1000226.48896979
2016-06-08 00:00:00.000,2152073.62169058
2016-06-09 00:00:00.000,462154.767258949
2016-06-10 00:00:00.000,895150.020121639
2016-06-11 00:00:00.000,527044.153382747
2016-06-12 00:00:00.000,1099987.13519248
2016-06-13 00:00:00.000,1180267.77918233
2016-06-14 00:00:00.000,1414059.83275397
2016-06-15 00:00:00.000,916505.685070861
2016-06-16 00:00:00.000,1482055.27210547
2016-06-17 00:00:00.000,4205505.53308347
2016-06-18 00:00:00.000,5143518.02755798
2016-06-19 00:00:00.000,1814519.77568902
2016-06-20 00:00:00.000,2614718.85476017
2016-06-21 00:00:00.000,1786910.55877093
2016-06-22 00:00:00.000,2062567.48905222
2016-06-23 00:00:00.000,1776365.06384548
2016-06-24 00:00:00.000,1123194.87688605
2016-06-25 00:00:00.000,1257328.52210809
2016-06-26 00:00:00.000,622549.084973051
2016-06-27 00:00:00.000,652661.40939713
2016-06-28 00:00:00.000,1559137.64014088
2016-06-29 00:00:00.000,1266233.02001565
2016-06-30 00:00:00.000,867842.400838285
2016-07-01 00:00:00.000,859836.074760343
2016-07-02 00:00:00.000,462875.236677991
2016-07-03 00:00:00.000,513972.594494783
2016-07-04 00:00:00.000,1169940.87640702
2016-07-05 00:00:00.000,3549587.39398926
2016-07-06 00:00:00.000,1061766.91770774
2016-07-07 00:00:00.000,985945.658941771
2016-07-08 00:00:00.000,689323.558616897
2016-07-09 00:00:00.000,592148.803642639
2016-07-10 00:00:00.000,664293.225944167
2016-07-11 00:00:00.000,806094.315643323
2016-07-12 00:00:00.000,865746.986283288
2016-07-13 00:00:00.000,942433.159665489
2016-07-14 00:00:00.000,929945.58542697
2016-07-15 00:00:00.000,3905574.10095375
2016-07-16 00:00:00.000,781953.890673748
2016-07-17 00:00:00.000,764327.850679675
2016-07-18 00:00:00.000,2860539.92121062
2016-07-19 00:00:00.000,9752065.52686744
2016-07-20 00:00:00.000,14045533.6368964
2016-07-21 00:00:00.000,1758734.91994008
2016-07-22 00:00:00.000,3021109.49587112
2016-07-23 00:00:00.000,2628856.28923698
2016-07-24 00:00:00.000,12465332.7711747
2016-07-25 00:00:00.000,9712784.49243938
2016-07-26 00:00:00.000,20749743.5986851
2016-07-27 00:00:00.000,12384900.4587759
2016-07-28 00:00:00.000,7431830.25038845
2016-07-29 00:00:00.000,5318424.89020623
2016-07-30 00:00:00.000,3547109.30043526
2016-07-31 00:00:00.000,3623233.8321421
2016-08-01 00:00:00.000,5348687.33827893
2016-08-02 00:00:00.000,10150225.7797961
2016-08-03 00:00:00.000,8755882.24894129
2016-08-04 00:00:00.000,3683299.42278336
2016-08-05 00:00:00.000,4194823.11639095
2016-08-06 00:00:00.000,1805420.16262209
2016-08-07 00:00:00.000,2096545.77760866
2016-08-08 00:00:00.000,2104359.46697548
2016-08-09 00:00:00.000,3168041.8831613
2016-08-10 00:00:00.000,4821276.45791814
2016-08-11 00:00:00.000,3890362.38897317
2016-08-12 00:00:00.000,2295364.00139968
2016-08-13 00:00:00.000,1996837.87723023
2016-08-14 00:00:00.000,1610520.96351774
2016-08-15 00:00:00.000,1431506.60268316
2016-08-16 00:00:00.000,933774.262001964
2016-08-17 00:00:00.000,1764984.11086391
2016-08-18 00:00:00.000,1167707.78752202
2016-08-19 00:00:00.000,1024505.31710418
2016-08-20 00:00:00.000,1548159.82648844
2016-08-21 00:00:00.000,3552708.91981742
2016-08-22 00:00:00.000,2227019.07528938
2016-08-23 00:00:00.000,4477925.14474802
2016-08-24 00:00:00.000,1000820.6423136
2016-08-25 00:00:00.000,889387.117247497
2016-08-26 00:00:00.000,1911011.2835175
2016-08-27 00:00:00.000,895305.584619304
2016-08-28 00:00:00.000,750355.791683248
2016-08-29 00:00:00.000,1112478.93987078
2016-08-30 00:00:00.000,778415.07675371
2016-08-31 00:00:00.000,1009860.88164271
2016-09-01 00:00:00.000,1901515.05662353
2016-09-02 00:00:00.000,1676668.61079621
2016-09-03 00:00:00.000,1163002.6969053
2016-09-04 00:00:00.000,1388054.01895211
2016-09-05 00:00:00.000,733547.707508383
2016-09-06 00:00:00.000,868463.887722148
2016-09-07 00:00:00.000,802559.593841556
2016-09-08 00:00:00.000,1437381.33429635
2016-09-09 00:00:00.000,616725.812505127
2016-09-10 00:00:00.000,588599.106295704
2016-09-11 00:00:00.000,766785.770349525
2016-09-12 00:00:00.000,901550.803421127
2016-09-13 00:00:00.000,956766.586964347
2016-09-14 00:00:00.000,752490.105574902
2016-09-15 00:00:00.000,616572.431580608
2016-09-16 00:00:00.000,2269457.04201645
2016-09-17 00:00:00.000,798843.31084672
2016-09-18 00:00:00.000,1565682.40880372
2016-09-19 00:00:00.000,917266.59222293
2016-09-20 00:00:00.000,3685741.74488586
2016-09-21 00:00:00.000,4006225.92035333
2016-09-22 00:00:00.000,1871869.81365202
2016-09-23 00:00:00.000,2000207.96629531
2016-09-24 00:00:00.000,1338851.16342273
2016-09-25 00:00:00.000,2416559.26278421
2016-09-26 00:00:00.000,987325.270424549
2016-09-27 00:00:00.000,1130364.50837088
2016-09-28 00:00:00.000,2492728.15973329
2016-09-29 00:00:00.000,2106884.28995073
2016-09-30 00:00:00.000,909819.303607552
2016-10-01 00:00:00.000,821417.015741903
2016-10-02 00:00:00.000,1751125.17117797
2016-10-03 00:00:00.000,610390.494451654
