TRANSACTION_DATE,TRANSACTION_VOLUME,TRANSACTION_VALUE,ACTIVE_WALLETS,TOTAL_GAS_FEES
2016-04-12 00:00:00.000,34664,1090432.4885183,5042,22.891461714
2016-04-13 00:00:00.000,35614,1137998.57658515,5409,29.528023748
2016-04-14 00:00:00.000,34763,943902.22131624,5025,31.657839918
2016-04-15 00:00:00.000,34939,591119.841806136,4602,23.332946811
2016-04-16 00:00:00.000,30475,433476.052597516,4514,17.209436218
2016-04-17 00:00:00.000,40186,824811.575719974,5092,30.148861732
2016-04-18 00:00:00.000,33478,638535.012606962,5035,20.045817824
2016-04-19 00:00:00.000,32615,408614.408159272,4905,19.09120765
2016-04-20 00:00:00.000,32916,674655.266284686,5022,23.795345777
2016-04-21 00:00:00.000,37171,473331.090831658,4972,30.317411008
2016-04-22 00:00:00.000,31637,754227.658123052,5083,19.663119726
2016-04-23 00:00:00.000,31836,1014162.21945035,4906,19.496324708
2016-04-24 00:00:00.000,34030,375207.187093082,5054,22.378848648
2016-04-25 00:00:00.000,35395,712819.254764313,5295,23.756424619
2016-04-26 00:00:00.000,32328,1163229.49653588,5393,21.329404135
2016-04-27 00:00:00.000,33267,778571.564073103,5344,19.936661914
2016-04-28 00:00:00.000,33432,767210.6353172,5112,22.090708816
2016-04-29 00:00:00.000,36109,585245.235879373,7554,22.81362975
2016-04-30 00:00:00.000,44323,2643633.62828491,8076,31.044182274
2016-05-01 00:00:00.000,38305,1699764.9713221,6967,35.982813252
2016-05-02 00:00:00.000,41263,1859319.27051226,8006,27.078643308
2016-05-03 00:00:00.000,37617,1335178.05101318,7316,26.337995914
2016-05-04 00:00:00.000,37335,1084648.36546642,6853,26.734274636
2016-05-05 00:00:00.000,37136,1089443.08332918,6936,27.070213441
2016-05-06 00:00:00.000,40307,2019536.27121394,6951,33.107057857
2016-05-07 00:00:00.000,35647,1507103.18260869,6635,23.893355718
2016-05-08 00:00:00.000,39894,1399447.70715861,7086,28.557385163
2016-05-09 00:00:00.000,38284,1962511.57577002,7400,25.866691286
2016-05-10 00:00:00.000,40373,2014554.53572374,7514,26.923044234
2016-05-11 00:00:00.000,40476,2985497.30589725,8681,31.059243491
2016-05-12 00:00:00.000,44523,3178747.75299649,8841,38.621683013
2016-05-13 00:00:00.000,47127,7932834.42345378,10391,42.664478306
2016-05-14 00:00:00.000,45186,5844972.95531297,9151,33.709967079
2016-05-15 00:00:00.000,42802,1469667.28725907,7880,30.721419344
2016-05-16 00:00:00.000,37193,1474198.20677345,7645,27.091746068
2016-05-17 00:00:00.000,40046,1309439.29838798,8262,28.224755331
2016-05-18 00:00:00.000,45784,1811512.51796766,8884,34.826074198
2016-05-19 00:00:00.000,44309,2654202.42401273,9144,32.932314692
2016-05-20 00:00:00.000,44907,2251156.87051979,8577,37.720347733
2016-05-21 00:00:00.000,43406,991869.54786954,7723,35.581682221
2016-05-22 00:00:00.000,38740,665243.227262121,6906,28.153160515
2016-05-23 00:00:00.000,43516,1245172.89625626,9027,29.375553127
2016-05-24 00:00:00.000,42703,1757888.36243456,8588,28.34583537
2016-05-25 00:00:00.000,46196,1707748.7823633,8349,32.483114185
2016-05-26 00:00:00.000,50837,1273153.13031181,15489,35.29396363
2016-05-27 00:00:00.000,48413,2575346.8062406,10123,37.472497326
2016-05-28 00:00:00.000,69221,2198904.97175441,15874,78.844644664
2016-05-29 00:00:00.000,45338,1005242.21239161,8716,36.159085032
2016-05-30 00:00:00.000,42529,1012347.28379215,8542,30.22787513
2016-05-31 00:00:00.000,44119,1020980.25298749,8998,30.217555795
2016-06-01 00:00:00.000,42064,787919.481614185,8255,30.525218944
2016-06-02 00:00:00.000,39563,499508.988654318,7734,25.43269954
2016-06-03 00:00:00.000,39679,626453.602571851,7778,24.362195632
2016-06-04 00:00:00.000,37753,465183.556639321,7129,23.585115535
2016-06-05 00:00:00.000,37728,455014.181594933,7131,23.088310553
2016-06-06 00:00:00.000,38870,480216.165709616,7634,25.551607472
2016-06-07 00:00:00.000,45983,1000226.48896979,7937,66.795421107
2016-06-08 00:00:00.000,40247,2152073.62169058,7906,27.64511281
2016-06-09 00:00:00.000,39693,462154.767258949,7503,28.051560169
2016-06-10 00:00:00.000,39994,895150.020121639,7711,27.783560923
2016-06-11 00:00:00.000,36798,527044.153382747,6843,26.720436846
2016-06-12 00:00:00.000,42472,1099987.13519248,8017,28.528198463
2016-06-13 00:00:00.000,46033,1180267.77918233,9830,36.088785049
2016-06-14 00:00:00.000,49930,1414059.83275396,10000,36.515076362
2016-06-15 00:00:00.000,42879,916505.685070861,8695,28.66679556
2016-06-16 00:00:00.000,43306,1482055.27210547,9465,40.292182041
2016-06-17 00:00:00.000,66089,4205505.53308347,13986,215.159686431
2016-06-18 00:00:00.000,62637,5143518.02755798,12555,269.258330078
2016-06-19 00:00:00.000,50934,1814519.77568902,9771,53.348589581
2016-06-20 00:00:00.000,46956,2614718.85476017,8997,51.343464961
2016-06-21 00:00:00.000,47028,1786910.55877093,9547,50.285655311
2016-06-22 00:00:00.000,48340,2062567.48905222,10388,47.573462592
2016-06-23 00:00:00.000,41669,1776365.06384548,8398,30.828812448
2016-06-24 00:00:00.000,45171,1123194.87688605,8046,36.887317288
2016-06-25 00:00:00.000,36586,1257328.52210809,7396,27.21734823
2016-06-26 00:00:00.000,41571,622549.084973051,7295,27.315110893
2016-06-27 00:00:00.000,39574,652661.409397129,7485,26.931943521
2016-06-28 00:00:00.000,42998,1559137.64014088,8584,31.071642907
2016-06-29 00:00:00.000,49811,1266233.02001565,8339,56.435417205
2016-06-30 00:00:00.000,63841,867842.400838285,7550,87.496927389
2016-07-01 00:00:00.000,40035,859836.074760343,7659,45.223274976
2016-07-02 00:00:00.000,39238,462875.23667799,7831,24.315157412
2016-07-03 00:00:00.000,39653,513972.594494782,7816,30.036144215
2016-07-04 00:00:00.000,39912,1169940.87640702,8317,26.671827956
2016-07-05 00:00:00.000,39216,3549587.39398926,8500,29.073490962
2016-07-06 00:00:00.000,37860,1061766.91770774,8193,28.937455122
2016-07-07 00:00:00.000,40364,985945.658941771,8146,26.243203474
2016-07-08 00:00:00.000,42426,689323.558616897,8140,38.354064863
2016-07-09 00:00:00.000,40265,592148.803642639,7851,48.581327385
2016-07-10 00:00:00.000,39289,664293.225944167,7444,27.35621396
2016-07-11 00:00:00.000,38491,806094.315643323,7828,27.137058648
2016-07-12 00:00:00.000,40762,865746.986283288,7841,32.112146582
2016-07-13 00:00:00.000,35696,942433.159665489,7637,24.367985754
2016-07-14 00:00:00.000,42780,929945.58542697,8197,32.131347897
2016-07-15 00:00:00.000,41048,3905574.10095375,8083,28.956042449
2016-07-16 00:00:00.000,38002,781953.890673748,6944,23.687374192
2016-07-17 00:00:00.000,33904,764327.850679675,6393,19.609614213
2016-07-18 00:00:00.000,39152,2860539.92121062,7358,25.430141859
2016-07-19 00:00:00.000,44155,9752065.52686743,17574,28.74816382
2016-07-20 00:00:00.000,50399,14045533.6368964,10732,74.205569585
2016-07-21 00:00:00.000,44736,1758734.91994008,9727,33.35773313
2016-07-22 00:00:00.000,48307,3021109.49587112,10682,36.93868145
2016-07-23 00:00:00.000,44859,2628856.28923698,9669,32.112756249
2016-07-24 00:00:00.000,58023,12465332.7711747,14516,36.707438898
2016-07-25 00:00:00.000,54626,9712784.49243938,11788,38.139434441
2016-07-26 00:00:00.000,61722,20749743.5986851,17531,44.31886088
2016-07-27 00:00:00.000,52791,12384900.4587759,13785,37.517829986
2016-07-28 00:00:00.000,48225,7431830.25038845,12475,48.767462013
2016-07-29 00:00:00.000,47093,5318424.89020623,10409,45.091897438
2016-07-30 00:00:00.000,41898,3547109.30043526,8851,29.678016651
2016-07-31 00:00:00.000,48649,3623233.8321421,9943,30.041205609
2016-08-01 00:00:00.000,45129,5348687.33827893,10386,29.72982605
2016-08-02 00:00:00.000,48885,10150225.7797961,12754,33.410151647
2016-08-03 00:00:00.000,49334,8755882.24894129,10624,31.947020336
2016-08-04 00:00:00.000,46670,3683299.42278336,10175,31.97941028
2016-08-05 00:00:00.000,43149,4194823.11639095,8866,28.99047298
