TRANSACTION_DATE,SMART_CONTRACT_INTERACTIONS
2016-11-25 00:00:00.000,55162
2016-11-26 00:00:00.000,40643
2016-11-27 00:00:00.000,44320
2016-11-28 00:00:00.000,48036
2016-11-29 00:00:00.000,46139
2016-11-30 00:00:00.000,38320
2016-12-01 00:00:00.000,36804
2016-12-02 00:00:00.000,41337
2016-12-03 00:00:00.000,40497
2016-12-04 00:00:00.000,38787
2016-12-05 00:00:00.000,40666
2016-12-06 00:00:00.000,47137
2016-12-07 00:00:00.000,41358
2016-12-08 00:00:00.000,38691
2016-12-09 00:00:00.000,40331
2016-12-10 00:00:00.000,39660
2016-12-11 00:00:00.000,37983
2016-12-12 00:00:00.000,38267
2016-12-13 00:00:00.000,44318
2016-12-14 00:00:00.000,46294
2016-12-15 00:00:00.000,45120
2016-12-16 00:00:00.000,43019
2016-12-17 00:00:00.000,37689
2016-12-18 00:00:00.000,35534
2016-12-19 00:00:00.000,44460
2016-12-20 00:00:00.000,43614
2016-12-21 00:00:00.000,49616
2016-12-22 00:00:00.000,54107
2016-12-23 00:00:00.000,43333
2016-12-24 00:00:00.000,36738
2016-12-25 00:00:00.000,35593
2016-12-26 00:00:00.000,34146
2016-12-27 00:00:00.000,41080
2016-12-28 00:00:00.000,42153
2016-12-29 00:00:00.000,45089
2016-12-30 00:00:00.000,43181
2016-12-31 00:00:00.000,40548
2017-01-01 00:00:00.000,38558
2017-01-02 00:00:00.000,39394
2017-01-03 00:00:00.000,45190
2017-01-04 00:00:00.000,50388
2017-01-05 00:00:00.000,49371
2017-01-06 00:00:00.000,43367
2017-01-07 00:00:00.000,43178
2017-01-08 00:00:00.000,42244
2017-01-09 00:00:00.000,45768
2017-01-10 00:00:00.000,47720
2017-01-11 00:00:00.000,43968
2017-01-12 00:00:00.000,48706
2017-01-13 00:00:00.000,48685
2017-01-14 00:00:00.000,40069
2017-01-15 00:00:00.000,40237
2017-01-16 00:00:00.000,43921
2017-01-17 00:00:00.000,45364
2017-01-18 00:00:00.000,43514
2017-01-19 00:00:00.000,43235
2017-01-20 00:00:00.000,44993
2017-01-21 00:00:00.000,41959
2017-01-22 00:00:00.000,45967
2017-01-23 00:00:00.000,44516
2017-01-24 00:00:00.000,48902
2017-01-25 00:00:00.000,45165
2017-01-26 00:00:00.000,46264
2017-01-27 00:00:00.000,46377
2017-01-28 00:00:00.000,44662
2017-01-29 00:00:00.000,42274
2017-01-30 00:00:00.000,44754
2017-01-31 00:00:00.000,43465
2017-02-01 00:00:00.000,44228
2017-02-02 00:00:00.000,43354
2017-02-03 00:00:00.000,42151
2017-02-04 00:00:00.000,44726
2017-02-05 00:00:00.000,46072
2017-02-06 00:00:00.000,46781
2017-02-07 00:00:00.000,51154
2017-02-08 00:00:00.000,50320
2017-02-09 00:00:00.000,47651
2017-02-10 00:00:00.000,51964
2017-02-11 00:00:00.000,46233
2017-02-12 00:00:00.000,44708
2017-02-13 00:00:00.000,55598
2017-02-14 00:00:00.000,57939
2017-02-15 00:00:00.000,54754
2017-02-16 00:00:00.000,49450
2017-02-17 00:00:00.000,49223
2017-02-18 00:00:00.000,48453
2017-02-19 00:00:00.000,47953
2017-02-20 00:00:00.000,49838
2017-02-21 00:00:00.000,57574
2017-02-22 00:00:00.000,50044
2017-02-23 00:00:00.000,47340
2017-02-24 00:00:00.000,53880
2017-02-25 00:00:00.000,53073
2017-02-26 00:00:00.000,51557
2017-02-27 00:00:00.000,52321
2017-02-28 00:00:00.000,59875
2017-03-01 00:00:00.000,58459
2017-03-02 00:00:00.000,70214
2017-03-03 00:00:00.000,63700
2017-03-04 00:00:00.000,58526
2017-03-05 00:00:00.000,56295
2017-03-06 00:00:00.000,56797
2017-03-07 00:00:00.000,62364
2017-03-08 00:00:00.000,55045
2017-03-09 00:00:00.000,63930
2017-03-10 00:00:00.000,63959
2017-03-11 00:00:00.000,64531
2017-03-12 00:00:00.000,66376
2017-03-13 00:00:00.000,81096
2017-03-14 00:00:00.000,76153
2017-03-15 00:00:00.000,80013
2017-03-16 00:00:00.000,108343
2017-03-17 00:00:00.000,105963
2017-03-18 00:00:00.000,89580
2017-03-19 00:00:00.000,84264
2017-03-20 00:00:00.000,79714
2017-03-21 00:00:00.000,83685
2017-03-22 00:00:00.000,78144
2017-03-23 00:00:00.000,81758
2017-03-24 00:00:00.000,86858
2017-03-25 00:00:00.000,84032
2017-03-26 00:00:00.000,79080
2017-03-27 00:00:00.000,91275
2017-03-28 00:00:00.000,83532
2017-03-29 00:00:00.000,92400
2017-03-30 00:00:00.000,95107
2017-03-31 00:00:00.000,102036
2017-04-01 00:00:00.000,79732
2017-04-02 00:00:00.000,87892
2017-04-03 00:00:00.000,99053
2017-04-04 00:00:00.000,85011
2017-04-05 00:00:00.000,85625
2017-04-06 00:00:00.000,93698
2017-04-07 00:00:00.000,91638
2017-04-08 00:00:00.000,70917
2017-04-09 00:00:00.000,73475
2017-04-10 00:00:00.000,74535
2017-04-11 00:00:00.000,75472
2017-04-12 00:00:00.000,76838
2017-04-13 00:00:00.000,83673
2017-04-14 00:00:00.000,80169
2017-04-15 00:00:00.000,73968
2017-04-16 00:00:00.000,70240
2017-04-17 00:00:00.000,71742
2017-04-18 00:00:00.000,82591
2017-04-19 00:00:00.000,84332
2017-04-20 00:00:00.000,84969
2017-04-21 00:00:00.000,77151
2017-04-22 00:00:00.000,71267
2017-04-23 00:00:00.000,76260
2017-04-24 00:00:00.000,77704
2017-04-25 00:00:00.000,92315
2017-04-26 00:00:00.000,89001
2017-04-27 00:00:00.000,103616
2017-04-28 00:00:00.000,104431
2017-04-29 00:00:00.000,90455
2017-04-30 00:00:00.000,94019
2017-05-01 00:00:00.000,109487
2017-05-02 00:00:00.000,106946
2017-05-03 00:00:00.000,96417
2017-05-04 00:00:00.000,113647
2017-05-05 00:00:00.000,107471
2017-05-06 00:00:00.000,94226
2017-05-07 00:00:00.000,102373
2017-05-08 00:00:00.000,115868
2017-05-09 00:00:00.000,110654
2017-05-10 00:00:00.000,108131
2017-05-11 00:00:00.000,115566
2017-05-12 00:00:00.000,105947
2017-05-13 00:00:00.000,100010
2017-05-14 00:00:00.000,100220
2017-05-15 00:00:00.000,121399
2017-05-16 00:00:00.000,114743
2017-05-17 00:00:00.000,136355
2017-05-18 00:00:00.000,134148
2017-05-19 00:00:00.000,158951
2017-05-20 00:00:00.000,128032
2017-05-21 00:00:00.000,147582
2017-05-22 00:00:00.000,173161
2017-05-23 00:00:00.000,179161
2017-05-24 00:00:00.000,178044
2017-05-25 00:00:00.000,177833
2017-05-26 00:00:00.000,163980
2017-05-27 00:00:00.000,144536
2017-05-28 00:00:00.000,149964
2017-05-29 00:00:00.000,155013
2017-05-30 00:00:00.000,177947
2017-05-31 00:00:00.000,197229
2017-06-01 00:00:00.000,192493
2017-06-02 00:00:00.000,182714
2017-06-03 00:00:00.000,167971
2017-06-04 00:00:00.000,171890
2017-06-05 00:00:00.000,184222
2017-06-06 00:00:00.000,190054
2017-06-07 00:00:00.000,197878
2017-06-08 00:00:00.000,180165
2017-06-09 00:00:00.000,208007
2017-06-10 00:00:00.000,208727
2017-06-11 00:00:00.000,228911
2017-06-12 00:00:00.000,277244
2017-06-13 00:00:00.000,272555
2017-06-14 00:00:00.000,243835
2017-06-15 00:00:00.000,253639
2017-06-16 00:00:00.000,236956
2017-06-17 00:00:00.000,235344
2017-06-18 00:00:00.000,236672
2017-06-19 00:00:00.000,278364
2017-06-20 00:00:00.000,279705
2017-06-21 00:00:00.000,184449
2017-06-22 00:00:00.000,265356
2017-06-23 00:00:00.000,265969
2017-06-24 00:00:00.000,228521
2017-06-25 00:00:00.000,219260
2017-06-26 00:00:00.000,308041
2017-06-27 00:00:00.000,248835
2017-06-28 00:00:00.000,254819
2017-06-29 00:00:00.000,254828
2017-06-30 00:00:00.000,244645
2017-07-01 00:00:00.000,231332
2017-07-02 00:00:00.000,237852
2017-07-03 00:00:00.000,290997
2017-07-04 00:00:00.000,266988
2017-07-05 00:00:00.000,255876
2017-07-06 00:00:00.000,250872
2017-07-07 00:00:00.000,286929
2017-07-08 00:00:00.000,235216
2017-07-09 00:00:00.000,221681
2017-07-10 00:00:00.000,291954
2017-07-11 00:00:00.000,282633
2017-07-12 00:00:00.000,272390
2017-07-13 00:00:00.000,247456
2017-07-14 00:00:00.000,238122
2017-07-15 00:00:00.000,223816
2017-07-16 00:00:00.000,242353
2017-07-17 00:00:00.000,240198
2017-07-18 00:00:00.000,253219
2017-07-19 00:00:00.000,262008
2017-07-20 00:00:00.000,243956
2017-07-21 00:00:00.000,227788
2017-07-22 00:00:00.000,200340
2017-07-23 00:00:00.000,254815
2017-07-24 00:00:00.000,252123
2017-07-25 00:00:00.000,229684
2017-07-26 00:00:00.000,217196
2017-07-27 00:00:00.000,218365
2017-07-28 00:00:00.000,239118
2017-07-29 00:00:00.000,193585
2017-07-30 00:00:00.000,202116
2017-07-31 00:00:00.000,243830
2017-08-01 00:00:00.000,211430
2017-08-02 00:00:00.000,225803
2017-08-03 00:00:00.000,232792
2017-08-04 00:00:00.000,252330
2017-08-05 00:00:00.000,256226
2017-08-06 00:00:00.000,261130
2017-08-07 00:00:00.000,269492
2017-08-08 00:00:00.000,308850
2017-08-09 00:00:00.000,273370
2017-08-10 00:00:00.000,329727
2017-08-11 00:00:00.000,347927
2017-08-12 00:00:00.000,324282
2017-08-13 00:00:00.000,326540
2017-08-14 00:00:00.000,394483
2017-08-15 00:00:00.000,399404
2017-08-16 00:00:00.000,387876
2017-08-17 00:00:00.000,406329
2017-08-18 00:00:00.000,418169
2017-08-19 00:00:00.000,355539
2017-08-20 00:00:00.000,296363
2017-08-21 00:00:00.000,381820
2017-08-22 00:00:00.000,353472
2017-08-23 00:00:00.000,360745
2017-08-24 00:00:00.000,339399
2017-08-25 00:00:00.000,341363
2017-08-26 00:00:00.000,292836
2017-08-27 00:00:00.000,310462
2017-08-28 00:00:00.000,348333
2017-08-29 00:00:00.000,378073
2017-08-30 00:00:00.000,387716
2017-08-31 00:00:00.000,363291
2017-09-01 00:00:00.000,377659
2017-09-02 00:00:00.000,321072
2017-09-03 00:00:00.000,294616
2017-09-04 00:00:00.000,430081
2017-09-05 00:00:00.000,427215
2017-09-06 00:00:00.000,477646
2017-09-07 00:00:00.000,431048
2017-09-08 00:00:00.000,449878
2017-09-09 00:00:00.000,372820
2017-09-10 00:00:00.000,319046
2017-09-11 00:00:00.000,357590
2017-09-12 00:00:00.000,392533
2017-09-13 00:00:00.000,356237
2017-09-14 00:00:00.000,371587
